,,,,,NJ COVID-19 Cases,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Date,Total,New ,7 Day Avg,%age,7 Day Rate Change,,,,,
,4/29/2021,"  871,333 ","  1,989 ","  1,953 ",0.23%,94.61%,,,,,
,4/30/2021,"  872,927 ","  1,594 ","  1,832 ",0.18%,93.78%,,,,,
,5/1/2021,"  874,256 ","  1,329 ","  1,677 ",0.15%,91.55%,,,,,
,5/2/2021,"  875,277 ","  1,021 ","  1,609 ",0.12%,95.95%,,,,,
,5/3/2021,"  876,141 ",  864 ,"  1,492 ",0.10%,92.71%,,,,,
,5/4/2021,"  876,925 ",  784 ,"  1,336 ",0.09%,89.56%,,,,,
,5/5/2021,"  877,814 ",  889 ,"  1,210 ",0.10%,90.58%,,,,,
,5/6/2021,"  878,892 ","  1,078 ","  1,080 ",0.12%,89.24%,,,,,
,5/7/2021,"  879,812 ",  920 ,  984 ,0.10%,91.08%,,,,,
,5/8/2021,"  880,307 ",  495 ,  864 ,0.06%,87.89%,,,,,
,5/9/2021,"  880,560 ",  253 ,  755 ,0.03%,87.31%,,,,,
,5/10/2021,"  880,635 ",  75 ,  642 ,0.01%,85.07%,,,,,
,5/11/2021,"  881,171 ",  536 ,  607 ,0.06%,94.48%,,,,,
,5/12/2021,"  881,635 ",  464 ,  546 ,0.05%,89.99%,,,,,
,5/13/2021,"  881,991 ",  356 ,  443 ,0.04%,81.10%,,,,,
,5/14/2021,"  882,199 ",  208 ,  341 ,0.02%,77.02%,,,,,
,5/15/2021,"  882,750 ",  551 ,  349 ,0.06%,102.35%,,,,,
,5/16/2021,"  882,973 ",  223 ,  345 ,0.03%,98.77%,,,,,
,5/17/2021,"  883,272 ",  299 ,  377 ,0.03%,109.28%,,,,,
,5/18/2021,"  883,825 ",  553 ,  379 ,0.06%,100.64%,,,,,
,5/19/2021,"  884,221 ",  396 ,  369 ,0.04%,97.44%,,,,,
,5/20/2021,"  884,689 ",  468 ,  385 ,0.05%,104.33%,,,,,
,5/21/2021,"  885,291 ",  602 ,  442 ,0.07%,114.60%,,,,,
,5/22/2021,"  885,632 ",  341 ,  412 ,0.04%,93.21%,,,,,
,5/23/2021,"  885,907 ",  275 ,  419 ,0.03%,101.80%,,,,,
,5/24/2021,"  885,987 ",  80 ,  388 ,0.01%,92.54%,,,,,
,5/25/2021,"  886,271 ",  284 ,  349 ,0.03%,90.09%,,,,,
,5/26/2021,"  886,585 ",  314 ,  338 ,0.04%,96.65%,,,,,
,5/27/2021,"  886,902 ",  317 ,  316 ,0.04%,93.61%,,,,,
,5/28/2021,"  887,116 ",  214 ,  261 ,0.02%,82.47%,,,,,
,5/29/2021,"  887,306 ",  190 ,  239 ,0.02%,91.73%,,,,,
,5/30/2021,"  887,527 ",  221 ,  231 ,0.02%,96.77%,,,,,
,5/31/2021,"  887,699 ",  172 ,  245 ,0.02%,105.68%,,,,,
,6/1/2021,"  887,834 ",  135 ,  223 ,0.02%,91.30%,,,,,
,6/2/2021,"  888,074 ",  240 ,  213 ,0.03%,95.27%,,,,,
,6/3/2021,"  888,288 ",  214 ,  198 ,0.02%,93.08%,,,,,
,6/4/2021,"  888,507 ",  219 ,  199 ,0.02%,100.36%,,,,,
,6/5/2021,"  888,747 ",  240 ,  206 ,0.03%,103.59%,,,,,
,6/6/2021,"  888,927 ",  180 ,  200 ,0.02%,97.15%,,,,,
,6/7/2021,"  889,108 ",  181 ,  201 ,0.02%,100.64%,,,,,
,6/8/2021,"  889,255 ",  147 ,  203 ,0.02%,100.85%,,,,,
,6/9/2021,"  889,408 ",  153 ,  191 ,0.02%,93.88%,,,,,
,6/10/2021,"  889,622 ",  214 ,  191 ,0.02%,100.00%,,,,,
,6/11/2021,"  889,779 ",  157 ,  182 ,0.02%,95.35%,,,,,
,6/12/2021,"  889,960 ",  181 ,  173 ,0.02%,95.36%,,,,,
,6/13/2021,"  890,104 ",  144 ,  168 ,0.02%,97.03%,,,,,
,6/14/2021,"  890,232 ",  128 ,  161 ,0.01%,95.50%,,,,,
,6/15/2021,"  890,485 ",  253 ,  176 ,0.03%,109.43%,,,,,
,6/16/2021,"  890,696 ",  211 ,  184 ,0.02%,104.72%,,,,,
,6/17/2021,"  890,878 ",  182 ,  179 ,0.02%,97.52%,,,,,
,6/18/2021,"  891,071 ",  193 ,  185 ,0.02%,102.87%,,,,,
,6/19/2021,"  891,241 ",  170 ,  183 ,0.02%,99.15%,,,,,
,6/20/2021,"  891,357 ",  116 ,  179 ,0.01%,97.81%,,,,,
,6/21/2021,"  891,483 ",  126 ,  179 ,0.01%,99.84%,,,,,
,6/22/2021,"  891,644 ",  161 ,  166 ,0.02%,92.65%,,,,,
,6/23/2021,"  891,840 ",  196 ,  163 ,0.02%,98.71%,,,,,
,6/24/2021,"  892,027 ",  187 ,  164 ,0.02%,100.44%,,,,,
,6/25/2021,"  892,308 ",  281 ,  177 ,0.03%,107.66%,,,,,
,6/26/2021,"  892,485 ",  177 ,  178 ,0.02%,100.57%,,,,,
,6/27/2021,"  892,611 ",  126 ,  179 ,0.01%,100.80%,,,,,
,6/28/2021,"  892,713 ",  102 ,  176 ,0.01%,98.09%,,,,,
,6/29/2021,"  892,876 ",  163 ,  176 ,0.02%,100.16%,,,,,
,6/30/2021,"  892,983 ",  107 ,  163 ,0.01%,92.78%,,,,,
,7/1/2021,"  893,155 ",  172 ,  161 ,0.02%,98.69%,,,,,
,7/2/2021,"  893,432 ",  277 ,  161 ,0.03%,99.65%,,,,,
,7/3/2021,"  893,617 ",  185 ,  162 ,0.02%,100.71%,,,,,
,7/4/2021,"  893,783 ",  166 ,  167 ,0.02%,103.53%,,,,,
,7/5/2021,"  893,890 ",  107 ,  168 ,0.01%,100.43%,,,,,
,7/6/2021,"  894,007 ",  117 ,  162 ,0.01%,96.09%,,,,,
,7/7/2021,"  894,224 ",  217 ,  177 ,0.02%,109.73%,,,,,
,7/8/2021,"  894,488 ",  264 ,  190 ,0.03%,107.41%,,,,,
,7/9/2021,"  894,823 ",  335 ,  199 ,0.04%,104.35%,,,,,
,7/10/2021,"  895,067 ",  244 ,  207 ,0.03%,104.24%,,,,,
,7/11/2021,"  895,329 ",  262 ,  221 ,0.03%,106.62%,,,,,
,7/12/2021,"  895,552 ",  223 ,  237 ,0.02%,107.50%,,,,,
,7/13/2021,"  895,855 ",  303 ,  264 ,0.03%,111.19%,,,,,
,7/14/2021,"  896,191 ",  336 ,  281 ,0.04%,106.44%,,,,,
,7/15/2021,"  896,566 ",  375 ,  297 ,0.04%,105.64%,,,,,
,7/16/2021,"  897,045 ",  479 ,  317 ,0.05%,106.93%,,,,,
,7/17/2021,"  897,490 ",  445 ,  346 ,0.05%,109.05%,,,,,
,7/18/2021,"  897,926 ",  436 ,  371 ,0.05%,107.18%,,,,,
,7/19/2021,"  898,254 ",  328 ,  386 ,0.04%,104.04%,,,,,
,7/20/2021,"  898,827 ",  573 ,  425 ,0.06%,109.99%,,,,,
,7/21/2021,"  899,464 ",  637 ,  468 ,0.07%,110.13%,,,,,
,7/22/2021,"  900,128 ",  664 ,  509 ,0.07%,108.83%,,,,,
,7/23/2021,"  900,841 ",  713 ,  542 ,0.08%,106.57%,,,,,
,7/24/2021,"  901,661 ",  820 ,  596 ,0.09%,109.88%,,,,,
,7/25/2021,"  902,280 ",  619 ,  622 ,0.07%,104.39%,,,,,
,7/26/2021,"  902,870 ",  590 ,  659 ,0.07%,106.02%,,,,,
,7/27/2021,"  903,611 ",  741 ,  683 ,0.08%,103.64%,,,,,
,7/28/2021,"  904,447 ",  836 ,  712 ,0.09%,104.16%,,,,,
,7/29/2021,"  905,428 ",  981 ,  757 ,0.11%,106.36%,,,,,
,7/30/2021,"  906,271 ",  843 ,  776 ,0.09%,102.45%,,,,,
,7/31/2021,"  907,249 ",  978 ,  798 ,0.11%,102.91%,,,,,
,8/1/2021,"  908,132 ",  883 ,  836 ,0.10%,104.72%,,,,,
,8/2/2021,"  909,057 ",  925 ,  884 ,0.10%,105.72%,,,,,
,8/3/2021,"  910,183 ","  1,126 ",  939 ,0.12%,106.22%,,,,,
,8/4/2021,"  911,287 ","  1,104 ",  977 ,0.12%,104.08%,,,,,
,8/5/2021,"  912,619 ","  1,332 ","  1,027 ",0.15%,105.13%,,,,,
,8/6/2021,"  913,845 ","  1,226 ","  1,082 ",0.13%,105.33%,,,,,
,8/7/2021,"  915,267 ","  1,422 ","  1,145 ",0.16%,105.86%,,,,,
,8/8/2021,"  916,476 ","  1,209 ","  1,192 ",0.13%,104.07%,,,,,
,8/9/2021,"  917,349 ",  873 ,"  1,185 ",0.10%,99.38%,,,,,
,8/10/2021,"  918,713 ","  1,364 ","  1,219 ",0.15%,102.87%,,,,,
,8/11/2021,"  920,268 ","  1,555 ","  1,283 ",0.17%,105.29%,,,,,
,8/12/2021,"  921,914 ","  1,646 ","  1,328 ",0.18%,103.50%,,,,,
,8/13/2021,"  923,673 ","  1,759 ","  1,404 ",0.19%,105.73%,,,,,
,8/14/2021,"  925,147 ","  1,474 ","  1,411 ",0.16%,100.53%,,,,,
,8/15/2021,"  926,408 ","  1,261 ","  1,419 ",0.14%,100.53%,,,,,
,8/16/2021,"  927,563 ","  1,155 ","  1,459 ",0.12%,102.84%,,,,,
,8/17/2021,"  928,851 ","  1,288 ","  1,448 ",0.14%,99.26%,,,,,
,8/18/2021,"  930,076 ","  1,225 ","  1,401 ",0.13%,96.74%,,,,,
,8/19/2021,"  931,686 ","  1,610 ","  1,396 ",0.17%,99.63%,,,,,
,8/20/2021,"  934,069 ","  2,383 ","  1,485 ",0.26%,106.39%,,,,,
,8/21/2021,"  935,853 ","  1,784 ","  1,529 ",0.19%,102.98%,,,,,
,8/22/2021,"  937,187 ","  1,334 ","  1,540 ",0.14%,100.68%,,,,,
,8/23/2021,"  938,609 ","  1,422 ","  1,578 ",0.15%,102.48%,,,,,
,8/24/2021,"  940,179 ","  1,570 ","  1,618 ",0.17%,102.55%,,,,,
,8/25/2021,"  941,846 ","  1,667 ","  1,681 ",0.18%,103.90%,,,,,
,8/26/2021,"  943,594 ","  1,748 ","  1,701 ",0.19%,101.17%,,,,,
,8/27/2021,"  945,717 ","  2,123 ","  1,664 ",0.22%,97.82%,,,,,
,8/28/2021,"  947,298 ","  1,581 ","  1,635 ",0.17%,98.26%,,,,,
,8/29/2021,,,,,,,,,,
,8/30/2021,,,,,,,,,,
,8/31/2021,,,,,,,,,,
